name,cgpa
naveen,9.000000
rohith,9.000000
zzx,9.090000
zzw,9.490000
zzz,9.720000
caaarter,10.000000
zyt,9.370000
zyw,9.490000
zzr,9.510000
zzm,9.730000
zyn,9.810000
zzc,9.980000
zxv,9.040000
zxk,9.110000
zxh,9.130000
zyj,9.460000
zxt,9.790000
zya,9.810000
zwo,9.110000
zwl,9.130000
zwr,9.210000
zwq,9.240000
zwn,9.250000
zwy,9.290000
zxd,9.500000
zwc,9.710000
zwx,9.750000
zwt,9.980000
zvb,9.060000
zvq,9.080000
zvj,9.170000
zvh,9.320000
zvs,9.840000
zvu,9.860000
zue,9.120000
zts,9.360000
zus,9.620000
zub,9.790000
zun,9.870000
ztv,9.910000
zsp,9.160000
zst,9.250000
zsw,9.550000
ztd,9.600000
ztm,9.670000
zsk,9.850000
ztn,9.900000
zrn,9.100000
zrf,9.200000
zro,9.240000
zse,9.540000
zrs,9.710000
zrx,9.840000
zrq,9.860000
zsa,9.920000
zqg,9.220000
zqm,9.560000
zos,9.090000
zou,9.140000
zpd,9.260000
zpb,9.300000
zpo,9.720000
zpf,9.770000
znw,9.140000
zom,9.200000
znx,9.400000
znr,9.550000
zof,9.910000
znz,9.990000
zoh,10.000000
zmw,9.100000
zml,9.130000
zmi,9.350000
zmk,9.420000
zmj,9.650000
zne,9.900000
zlz,9.380000
zlp,9.480000
zmb,9.750000
zlb,9.870000
zka,9.100000
zjz,9.460000
zkg,9.670000
zko,9.860000
ziq,9.940000
zhy,9.030000
zhs,9.070000
zhg,9.100000
zhv,9.590000
zhh,9.860000
zil,9.870000
zig,9.900000
zhd,9.240000
zgv,9.350000
zgg,9.640000
zgk,9.670000
zfi,9.690000
zfu,9.970000
zdv,9.230000
zdx,9.490000
zeb,9.550000
zet,9.620000
zdo,9.880000
zdk,9.010000
zdf,9.140000
zda,9.200000
zdh,9.200000
zdm,9.220000
zci,9.230000
zdd,9.260000
zcv,9.330000
zcw,9.430000
zcq,9.530000
zcs,9.580000
zcx,9.640000
zde,9.670000
zcj,9.870000
zbu,9.130000
zcd,9.160000
zbt,9.180000
zbl,9.210000
zcb,9.360000
zca,9.680000
zbd,9.790000
zbg,9.800000
zaa,9.060000
zam,9.440000
zba,9.550000
yzz,9.660000
zaz,9.700000
zak,9.890000
yzk,9.060000
yyu,9.080000
yzl,9.210000
yze,9.500000
yzn,9.590000
yza,9.680000
yxm,9.030000
yxx,9.030000
yym,9.240000
yxu,9.260000
yxt,9.340000
yyl,9.360000
yxy,9.530000
yye,9.890000
yxf,9.100000
ywz,9.280000
ywl,9.350000
ywt,9.350000
